,Lasso + Random Forest,Lasso + Logistic Regression,Lasso + SVC,Lasso + Gradient Boosting,Lasso + K-Nearest Neighbors,PCA + Random Forest,PCA + Logistic Regression,PCA + SVC,PCA + Gradient Boosting,PCA + K-Nearest Neighbors,RFE + Random Forest,RFE + Logistic Regression,RFE + SVC,RFE + Gradient Boosting,RFE + K-Nearest Neighbors,SelectKBest + Random Forest,SelectKBest + Logistic Regression,SelectKBest + SVC,SelectKBest + Gradient Boosting,SelectKBest + K-Nearest Neighbors
roc_auc,"[0.7106177856029853, 0.907923374902612, 0.9340204630028294, 0.9494867270471973, 0.9648109136015091, 0.9679095483761839, 0.9714850317279697]","[0.6042867998318777, 0.8069543327387543, 0.8453034019149547, 0.8635806218477057, 0.9147893857383032, 0.9444369694919422, 0.9551461203715094]","[0.7084744497580677, 0.8859398065567721, 0.9192938989010538, 0.9340600268585721, 0.9605814252983146, 0.9648487155041621, 0.9718124346475581]","[0.6898954553143068, 0.8814375358797719, 0.9048631827408044, 0.9186756135441013, 0.9465887947472014, 0.9584348859023251, 0.9642589417517532]","[0.6889202943679009, 0.8756775510517899, 0.9154741447800057, 0.9312239230942717, 0.9581710734715216, 0.9624202636138106, 0.9698592295587815]","[0.7169550503341945, 0.8370625871365891, 0.8848651753495714, 0.9053076754520851, 0.9265028498790339, 0.9404719343297658, 0.946426855240497]","[0.5645406620330504, 0.7036167450895968, 0.7934500835486119, 0.8140364230942716, 0.861693089555911, 0.9113660710624514, 0.9248719220281297]","[0.7013202795034239, 0.8596452195329478, 0.9002811436421043, 0.9194117895805142, 0.9439513111493828, 0.9591636937712714, 0.9655591029544428]","[0.682720942510354, 0.8018943238200681, 0.8556265248903103, 0.8863251937507689, 0.9068231152868332, 0.93451813466191, 0.9424856865338089]","[0.6777680923750359, 0.8338268403760201, 0.8860426405461928, 0.9298577687394924, 0.9480832513224258, 0.95781515894739, 0.9684230776130724]","[0.7419167999343913, 0.9166038770656497, 0.9357036087362121, 0.9528842531369173, 0.9724132606511666, 0.9738100089186863, 0.9748839994156724]","[0.6614887670685201, 0.8423417189486202, 0.891350283962767, 0.9159682925329069, 0.9440573486898759, 0.9634106414278099, 0.970753821195719]","[0.727259592713331, 0.8939719099827778, 0.922626072548899, 0.9425081113913151, 0.9643455978082585, 0.9721492880428096, 0.9769808837700414]","[0.7319561587628655, 0.8847961388239636, 0.9162534085783409, 0.9379071713412884, 0.9568574573543281, 0.9654605937589699, 0.9703533773116825]","[0.6882041405256899, 0.879402480061098, 0.916434569391479, 0.9508320583200066, 0.968131073932833, 0.9705526381883791, 0.9770632150325993]","[0.5692546874359291, 0.836314878316316, 0.8259771791835814, 0.8612831951962111, 0.9152101721716488, 0.9169780518308935, 0.9295950775515645]","[0.5878291969081888, 0.7427663816787632, 0.7482188256038054, 0.7800191956780251, 0.8611318274080453, 0.9026536935662443, 0.9151939942387337]","[0.5452964502091278, 0.8111139836285726, 0.7906085337474884, 0.8171605260999713, 0.8966125971316685, 0.9081599571493009, 0.917237219112642]","[0.5870981465534917, 0.8124232749518185, 0.8047366745089597, 0.8332053514679952, 0.9045780666953704, 0.9111519136732685, 0.92176111375938]","[0.569920545526305, 0.8187542927584368, 0.7967572694980933, 0.8373312048940009, 0.8900621360765981, 0.8914005797146021, 0.9126889774777547]"
c_index,"[0.7106177856029852, 0.9079233749026121, 0.9340204630028294, 0.9494867270471973, 0.964810913601509, 0.967909548376184, 0.9714850317279698]","[0.6042867998318776, 0.8069543327387543, 0.8453034019149547, 0.8635806218477058, 0.9147893857383032, 0.9444369694919424, 0.9551461203715094]","[0.7084744497580678, 0.8859398065567721, 0.9192938989010538, 0.9340600268585721, 0.9605814252983147, 0.9648487155041621, 0.9718124346475582]","[0.6898954553143068, 0.881437535879772, 0.9048631827408046, 0.9186756135441013, 0.9465887947472014, 0.9584348859023251, 0.964258941751753]","[0.6889202943679009, 0.8756775510517899, 0.9154741447800058, 0.9312239230942715, 0.9581710734715218, 0.9624202636138106, 0.9698592295587813]","[0.7169550503341945, 0.8370625871365892, 0.8848651753495715, 0.9053076754520851, 0.9265028498790339, 0.9404719343297658, 0.946426855240497]","[0.5645406620330504, 0.7036167450895969, 0.793450083548612, 0.8140364230942715, 0.861693089555911, 0.9113660710624513, 0.9248719220281297]","[0.7013202795034239, 0.8596452195329479, 0.9002811436421044, 0.9194117895805142, 0.9439513111493829, 0.9591636937712715, 0.9655591029544429]","[0.6827209425103539, 0.8018943238200681, 0.8556265248903104, 0.8863251937507689, 0.9068231152868331, 0.93451813466191, 0.942485686533809]","[0.6777680923750359, 0.8338268403760201, 0.8860426405461926, 0.9298577687394923, 0.9480832513224259, 0.95781515894739, 0.9684230776130726]","[0.7419167999343913, 0.9166038770656497, 0.935703608736212, 0.9528842531369172, 0.9724132606511666, 0.9738100089186862, 0.9748839994156723]","[0.6614887670685201, 0.8423417189486202, 0.891350283962767, 0.9159682925329069, 0.9440573486898758, 0.9634106414278099, 0.9707538211957191]","[0.7272595927133308, 0.8939719099827778, 0.9226260725488991, 0.9425081113913151, 0.9643455978082585, 0.9721492880428096, 0.9769808837700414]","[0.7319561587628655, 0.8847961388239636, 0.9162534085783409, 0.9379071713412884, 0.9568574573543281, 0.96546059375897, 0.9703533773116825]","[0.6882041405256899, 0.8794024800610981, 0.916434569391479, 0.9508320583200066, 0.968131073932833, 0.970552638188379, 0.9770632150325993]","[0.569254687435929, 0.8363148783163161, 0.8259771791835814, 0.8612831951962111, 0.9152101721716488, 0.9169780518308935, 0.9295950775515643]","[0.5878291969081888, 0.7427663816787633, 0.7482188256038053, 0.7800191956780251, 0.8611318274080453, 0.9026536935662444, 0.9151939942387337]","[0.5452964502091278, 0.8111139836285726, 0.7906085337474884, 0.8171605260999713, 0.8966125971316685, 0.9081599571493009, 0.917237219112642]","[0.5870981465534916, 0.8124232749518185, 0.8047366745089597, 0.8332053514679952, 0.9045780666953704, 0.9111519136732685, 0.92176111375938]","[0.569920545526305, 0.8187542927584369, 0.7967572694980932, 0.8373312048940009, 0.8900621360765982, 0.8914005797146021, 0.9126889774777546]"
f1_score,"[0.5301689460981497, 0.7623456790123457, 0.8189331329827197, 0.8471121177802945, 0.8692712246431255, 0.8745711017918414, 0.8841300191204589]","[0.5063291139240507, 0.6829594911282223, 0.7213896457765667, 0.7395762132604238, 0.8072033898305084, 0.8500894454382827, 0.8703170028818443]","[0.42360780580675866, 0.7572168763878608, 0.8120854826823877, 0.8209121245828699, 0.8816807961666052, 0.8921822897369396, 0.9082161361954109]","[0.43238270469181234, 0.7276977015971952, 0.768413059984814, 0.793168880455408, 0.8435272045028143, 0.8696637703060068, 0.8797876374668183]","[0.5512445095168375, 0.7607272727272727, 0.801758886038842, 0.8352293577981651, 0.8788546255506607, 0.889463955637708, 0.9081442915582001]","[0.5247933884297521, 0.6723027375201288, 0.7335722819593787, 0.7704402515723271, 0.7988871224165341, 0.8191616766467066, 0.8271752085816448]","[0.4962315345191438, 0.5952458482578965, 0.6742247415805268, 0.6854460093896714, 0.7351016190148123, 0.7921896792189679, 0.8156305506216697]","[0.44090056285178236, 0.7154843630816171, 0.7788605697151424, 0.8146487294469357, 0.8530066815144766, 0.8844884488448845, 0.8950685947348906]","[0.4153263954588458, 0.6207719856744927, 0.7153455681374463, 0.7440960123886953, 0.7762345679012346, 0.8167499039569728, 0.8321785989222479]","[0.5367088607594936, 0.6966789667896679, 0.7652495378927912, 0.8297484506015311, 0.8596685082872928, 0.8797953964194374, 0.9015012815818382]","[0.5673076923076923, 0.7796738718240425, 0.8111571805503204, 0.8559577677224736, 0.8926174496644296, 0.8892261001517451, 0.8939393939393939]","[0.5676937441643324, 0.7134699361773598, 0.7704063911080237, 0.7961165048543689, 0.840996840996841, 0.8820805130032062, 0.9027877055039314]","[0.48629531388152075, 0.7766272189349113, 0.8153387937453462, 0.8541820873427091, 0.8887256702166728, 0.9092904169714704, 0.9172161172161172]","[0.5119099177132957, 0.7393145937620331, 0.7878332707472775, 0.8131370328425821, 0.8701153703014515, 0.8842263019857625, 0.8891402714932126]","[0.5515218188485516, 0.745775165319618, 0.8083700440528634, 0.8602540834845736, 0.8918722786647315, 0.909223477943857, 0.9213893967093236]","[0.3734015345268542, 0.6903474903474903, 0.6800606520090978, 0.7073732718894009, 0.8034444028453762, 0.8199176338450018, 0.846095526914329]","[0.4910025706940874, 0.6376623376623377, 0.6388888888888888, 0.6488888888888888, 0.7198501872659177, 0.7908571428571428, 0.8120754716981132]","[0.16821273964131106, 0.6653274407392528, 0.5823529411764706, 0.6307053941908713, 0.7749525616698292, 0.8017107309486781, 0.82568093385214]","[0.2523211359912616, 0.6455493183640738, 0.6327727806022683, 0.6566922765871411, 0.7825757575757576, 0.8004613610149942, 0.8248543689320388]","[0.40415335463258784, 0.6764154480689913, 0.6539753639417694, 0.706959706959707, 0.7847067557535263, 0.7939622641509434, 0.8361581920903954]"
